Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arouca,28,25.3,52.3,34,374,3060,34.0,34,18,52,28,6,9,89,5,40.7,33.5,25.2,58.7,418,1184,1.0,0.53,1.53,0.82,1.35,1.2,0.74,1.94,0.99,1.73
AVS Futebol,33,27.4,44.0,34,374,3060,34.0,25,17,42,21,4,5,106,5,31.7,27.7,22.0,49.7,388,877,0.74,0.5,1.24,0.62,1.12,0.93,0.65,1.58,0.82,1.46
Benfica,35,25.8,58.0,34,374,3060,34.0,81,58,139,70,11,12,64,0,78.8,69.7,55.5,125.2,684,1874,2.38,1.71,4.09,2.06,3.76,2.32,1.63,3.95,2.05,3.68
Boavista,32,27.5,40.3,34,374,3060,34.0,23,8,31,16,7,7,92,10,32.1,26.9,17.5,44.4,264,886,0.68,0.24,0.91,0.47,0.71,0.94,0.51,1.46,0.79,1.3
Braga,35,25.7,56.8,34,374,3060,34.0,54,40,94,49,5,6,69,4,51.3,46.5,36.9,83.4,602,1510,1.59,1.18,2.76,1.44,2.62,1.51,1.09,2.59,1.37,2.45
Casa Pia,32,26.8,46.7,34,374,3060,34.0,36,26,62,32,4,4,92,5,33.3,30.2,22.9,53.1,397,960,1.06,0.76,1.82,0.94,1.71,0.98,0.67,1.65,0.89,1.56
Estoril,28,25.2,48.9,34,374,3060,34.0,47,28,75,41,6,8,83,2,41.3,34.9,27.3,62.2,403,1053,1.38,0.82,2.21,1.21,2.03,1.21,0.8,2.02,1.03,1.83
Estrela,40,26.9,44.8,34,374,3060,34.0,23,16,39,21,2,4,102,3,29.4,26.3,18.8,45.0,354,875,0.68,0.47,1.15,0.62,1.09,0.86,0.55,1.42,0.77,1.32
Famalicão,31,24.3,50.4,34,374,3060,34.0,43,29,72,38,5,6,76,2,39.1,34.4,24.9,59.3,437,1250,1.26,0.85,2.12,1.12,1.97,1.15,0.73,1.88,1.01,1.74
Farense,37,27.3,41.3,34,374,3060,34.0,25,18,43,23,2,3,91,4,30.5,28.2,21.4,49.6,354,877,0.74,0.53,1.26,0.68,1.21,0.9,0.63,1.53,0.83,1.46
Gil Vicente FC,34,25.5,50.6,34,374,3060,34.0,33,20,53,29,4,4,72,5,33.8,30.7,24.6,55.2,451,1100,0.97,0.59,1.56,0.85,1.44,0.99,0.72,1.72,0.9,1.62
Moreirense,31,26.7,47.5,34,374,3060,34.0,41,28,69,36,5,5,84,2,33.4,29.5,21.9,51.4,416,936,1.21,0.82,2.03,1.06,1.88,0.98,0.64,1.63,0.87,1.51
Nacional,31,25.3,47.5,34,374,3060,34.0,31,21,52,28,3,5,83,5,37.8,33.9,25.6,59.5,466,960,0.91,0.62,1.53,0.82,1.44,1.11,0.75,1.87,1.0,1.75
Porto,32,24.2,61.7,34,374,3060,34.0,65,44,109,56,9,11,92,4,56.5,47.8,37.8,85.6,578,1644,1.91,1.29,3.21,1.65,2.94,1.66,1.11,2.77,1.41,2.52
Rio Ave,36,25.0,47.8,34,374,3060,34.0,39,20,59,36,3,4,79,5,38.9,35.8,25.0,60.8,493,1051,1.15,0.59,1.74,1.06,1.65,1.14,0.73,1.88,1.05,1.79
Santa Clara,25,26.5,44.6,34,374,3060,34.0,35,25,60,33,2,4,117,5,42.6,39.4,28.6,68.0,401,867,1.03,0.74,1.76,0.97,1.71,1.25,0.84,2.09,1.16,2.0
Sporting CP,34,23.9,60.1,34,374,3060,34.0,86,56,142,73,13,13,68,6,72.2,62.6,50.1,112.7,797,1786,2.53,1.65,4.18,2.15,3.79,2.12,1.47,3.6,1.84,3.31
Vitória,31,26.5,56.7,34,374,3060,34.0,43,27,70,40,3,3,86,1,44.6,42.2,31.3,73.5,504,1535,1.26,0.79,2.06,1.18,1.97,1.31,0.92,2.23,1.24,2.16
